ext_id,std_id
0,1014
1,364
2,500
3,5043
4,18
5,37
6,89
7,1436
8,1610
9,574
10,114
11,15
12,1419
13,54
14,14
15,1414
16,17
17,514
18,14
19,117
20,1002
21,604
22,365
23,1
24,443
25,598
26,1208
27,10
28,10
29,14
30,1396
31,223
32,134
33,1010
34,404
35,591
36,8
37,1193
38,51
39,15
40,14
41,15
42,1333
43,75
44,14
45,1015
46,74
47,79
48,183
49,156
50,67
51,8
52,423
53,125
54,219
55,18
56,596
57,8
58,357
59,77
60,72
61,1193
62,1001
63,500
64,18
65,43
66,430
67,18
68,264
69,1445
70,1369
71,596
72,352
73,9
74,1005
75,183
76,48
77,1419
78,6
79,29
80,9
81,1199
82,8
83,19
84,450
85,275
86,10
87,14
88,1358
89,232
90,123
91,14
92,12
93,453
94,79
95,8
96,1610
97,14
98,10
99,406
100,156
101,453
102,226
103,1633
104,12
105,8
106,591
107,374
108,8
109,232
110,1374
111,1426
112,162
113,15
114,61
115,174
116,222
117,8
118,1199
119,1576
120,18
121,28
122,1194
123,8
124,13
125,224
126,33
127,1627
128,2
129,8
130,500
131,151
132,29
133,1198
134,1005
135,1630
136,217
137,30
138,4671
139,215
140,1015
141,8
142,195
143,22
144,26
145,10
146,458
147,54
148,596
149,22
150,1193
151,1392
152,220
153,135
154,1000
155,1436
156,8
157,1012
158,16
159,1436
160,180
161,1004
162,117
163,160
164,444
165,14
166,8
167,44
168,8
169,15
170,1194
171,215
172,8
173,70
174,148
175,596
176,14
177,1407
178,106
179,17
180,453
181,195
182,1445
183,151
184,162
185,227
186,1633
187,1006
188,1369
189,8
190,500
191,8
192,18
193,1193
194,203
195,10
196,370
197,1627
198,36
199,215
200,117
201,215
202,182
203,27
204,18
205,152
206,1433
207,1
208,132
209,179
210,2
211,8
212,13
213,596
214,1412
215,418
216,1199
217,18
218,8
219,606
220,1633
221,603
222,54
223,19
224,605
225,8
226,15
227,125
228,202
229,8
230,1194
231,215
232,2127
233,215
234,13
235,195
236,10
237,12
238,596
239,5
240,35
241,1194
242,1407
243,34
244,9
245,517
246,1681
247,200
248,215
249,18
250,1382
251,94
252,211
253,418
254,228
255,16
256,264
257,9
258,1473
259,18
260,596
261,54
262,75
263,8
264,29
265,7
266,574
267,1445
268,18
269,8
270,1445
271,358
272,1426
273,88
274,1194
275,353
276,289
277,1353
278,1005
279,1672
280,1436
281,84
282,10
283,596
284,15
285,1145
286,1369
287,1193
288,1
289,4775
290,412
291,18
292,263
293,596
294,7
295,182
296,8
297,1613
298,2223
299,500
300,10
301,596
302,1194
303,220
304,1403
305,19
306,35
307,18
308,9
309,178
310,215
311,1472
312,51
313,11
314,27
315,19
316,4078
317,36
318,15
319,8
320,1723
321,14
322,1614
323,603
324,156
325,596
326,1445
327,12
328,10
329,1413
330,1018
331,999
332,45
333,94
334,365
335,16
336,1755
337,365
338,595
339,133
340,10
341,195
342,176
343,1020
344,82
345,10
346,1627
347,215
348,4668
349,1756
350,1336
351,1441
352,1445
353,1005
354,14
355,426
356,228
357,1015
358,445
359,599
360,9
361,1411
362,225
363,8
364,8
365,1613
366,15
367,182
368,1396
369,8
370,202
371,162
372,10
373,1672
374,5160
375,29
376,444
377,133
378,1487
379,1445
380,4757
381,226
382,1194
383,1374
384,517
385,604
386,14
387,1193
388,1397
389,8
390,1339
391,191
392,591
393,1020
394,117
395,29
396,18
397,596
398,364
399,123
400,999
401,8
402,198
403,1631
404,8
405,9
406,355
407,8
408,106
409,16
410,16
411,215
412,18
413,106
414,29
415,18
416,1433
417,281
418,365
419,1005
420,8
421,227
422,8
423,378
424,1634
425,1445
426,94
427,1405
428,8
429,5
430,1002
431,2219
432,604
433,4
434,8
435,1445
436,132
437,15
438,8
439,80
440,1364
441,106
442,18
443,596
444,1445
445,1193
446,8
447,604
448,215
449,30
450,1414
451,1194
452,596
453,1374
454,15
455,94
456,19
457,220
458,215
459,228
460,122
461,18
462,365
463,1445
464,12
465,16
466,1369
467,8
468,1374
469,180
470,605
471,1336
472,43
473,263
474,14
475,8
476,1403
477,1373
478,1802
479,1000
480,222
481,54
482,178
483,378
484,1005
485,1197
486,1410
487,163
488,1407
489,221
490,170
491,227
492,1633
493,9
494,319
495,1367
496,114
497,1445
498,596
499,1436
500,221
501,8
502,1193
503,219
504,431
505,2127
506,8
507,533
508,1407
509,13
510,14
511,1723
512,121
513,76
514,106
515,18
516,1198
517,15
518,1664
519,18
520,365
521,19
522,275
523,9
524,225
525,2222
526,591
527,16
528,16
529,15
530,275
531,14
532,591
533,8
534,427
535,8
536,8
537,1385
538,72
539,1333
540,215
541,83
542,11
543,11
544,24
545,226
546,1672
547,1193
548,445
549,431
550,178
551,365
552,19
553,8
554,16
555,4
556,443
557,1414
558,1426
559,1756
560,226
561,1212
562,1003
563,381
564,1208
565,421
566,16
567,14
568,1445
569,387
570,101
571,1431
572,18
573,27
574,1197
575,225
576,1414
577,365
578,18
579,18
580,117
581,27
582,1384
583,14
584,1336
585,1407
586,15
587,9
588,15
589,1199
590,1619
591,76
592,274
593,36
594,11
595,1629
596,426
597,8
598,1414
599,1402
600,14
601,54
602,11
603,1195
604,443
605,601
606,8
607,1436
608,1476
609,453
610,18
611,195
612,1017
613,10
614,18
615,19
616,1377
617,23
618,1332
619,1329
620,599
621,1674
622,19
623,1013
624,220
625,1193
626,151
627,13
628,1012
629,18
630,1395
631,6
632,85
633,114
634,1405
635,1374
636,1472
637,27
638,8
639,5188
640,444
641,15
642,263
643,1445
644,598
645,124
646,1194
647,2
648,1414
649,438
650,1339
651,1198
652,443
653,1196
654,1644
655,1627
656,214
657,16
658,595
659,603
660,15
661,418
662,1445
663,8
664,1006
665,1195
666,220
667,443
668,85
669,106
670,598
671,1338
672,1414
673,263
674,165
675,8
676,8
677,1346
678,8
679,160
680,606
681,603
682,18
683,232
684,29
685,162
686,165
687,598
688,1194
689,1426
690,1454
691,999
692,1802
693,8
694,14
695,122
696,1019
697,5045
698,1346
699,1441
700,32
701,1385
702,1414
703,72
704,65
705,1010
706,999
707,1445
708,87
709,18
710,18
711,1336
712,14
713,125
714,17
715,365
716,85
717,1415
718,38
719,8
720,1146
721,232
722,13
723,27
724,18
725,1472
726,418
727,45
728,1006
729,2099
730,2
731,10
732,431
733,219
734,9
735,1445
736,8
737,1619
738,8
739,8
740,8
741,54
742,22
743,574
744,12
745,65
746,1194
747,1336
748,9
749,12
750,2347
751,1195
752,2127
753,147
754,1405
755,1333
756,226
757,148
758,9
759,2
760,37
761,1193
762,365
763,1600
764,226
765,500
766,1633
767,27
768,182
769,274
770,596
771,1002
772,1414
773,67
774,54
775,1396
776,358
777,604
778,1414
779,18
780,1194
781,596
782,2
783,1487
784,124
785,13
786,4757
787,216
788,162
789,1414
790,63
791,1723
792,1193
793,1013
794,464
795,18
796,195
797,1194
798,1407
799,8
800,8
801,21
