ext_id,std_id
0,4485
1,14
2,1395
3,29
4,1014
5,27
6,1199
7,13
8,8
9,599
10,14
11,1766
12,381
13,14
14,156
15,37
16,3194
17,27
18,202
19,231
20,1627
21,124
22,13
23,341
24,13
25,1414
26,14
27,1414
28,14
29,589
30,14
31,1634
32,352
33,596
34,14
35,593
36,176
37,227
38,195
39,1195
40,15
41,15
42,125
43,60
44,1012
45,18
46,593
47,1197
48,591
49,1414
50,10
51,29
52,1723
53,275
54,8
55,1194
56,11
57,1193
58,1146
59,117
60,1199
61,18
62,418
63,24
64,1002
65,14
66,8
67,14
68,1008
69,4
70,11
71,365
72,54
73,8
74,389
75,18
76,195
77,2222
78,1428
79,165
80,122
81,1336
82,13
83,1445
84,18
85,1336
86,591
87,1414
88,9
89,18
90,183
91,228
92,18
93,19
94,8
95,9
96,439
97,1617
98,14
99,9
100,249
101,1194
102,2126
103,1407
104,18
105,14
106,43
107,275
108,1401
109,1445
110,1146
111,225
112,2027
113,1402
114,14
115,16
116,1445
117,171
118,8
119,591
120,1633
121,8
122,1020
123,5044
124,1146
125,215
126,15
127,22
128,596
129,1445
130,453
131,1633
132,8
133,591
134,30
135,6
136,94
137,1377
138,18
139,10
140,603
141,89
142,151
143,18
144,591
145,404
146,500
147,430
148,332
149,1427
150,3194
151,1607
152,8
153,364
154,2127
155,1476
156,1428
157,1194
158,1407
159,8
160,14
161,215
162,8
163,226
164,22
165,54
166,25
167,1407
168,430
169,445
170,1198
171,116
172,445
173,10
174,8
175,1199
176,364
177,3
178,1419
179,421
180,1395
181,215
182,18
183,591
184,351
185,18
186,1015
187,14
188,176
189,18
190,1193
191,27
192,35
193,4665
194,148
195,1199
196,1403
197,1473
198,1199
199,10
200,9
201,1
202,27
203,178
204,56
205,18
206,1197
207,1445
208,1009
209,332
210,596
211,603
212,1633
213,48
214,14
215,514
216,1373
217,94
218,1413
219,8
220,18
221,1194
222,226
223,1445
224,1006
225,453
226,352
227,18
228,18
229,189
230,2
231,2
232,15
233,14
234,598
235,180
236,1193
237,1396
238,15
239,27
240,443
241,418
242,603
243,15
244,2031
245,413
246,596
247,125
248,1376
249,209
250,1194
251,8
252,95
253,1410
254,15
255,15
256,76
257,517
258,574
259,443
260,117
261,598
262,190
263,1396
264,8
265,1194
266,1145
267,14
268,9
269,1445
270,18
271,29
272,29
273,1385
274,16
275,1212
276,196
277,591
278,156
279,14
280,1193
281,1436
282,14
283,404
284,11
285,162
286,596
287,14
288,12
289,12
290,574
291,14
292,37
293,8
294,15
295,124
296,8
297,181
298,18
299,1146
300,1407
301,13
302,195
303,8
304,19
305,195
306,1194
307,1619
308,1454
309,232
310,216
311,8
312,11
313,182
314,49
315,2127
316,8
317,163
318,1194
319,94
320,1406
321,18
322,1433
323,605
324,1374
325,445
326,28
327,17
328,79
329,1343
330,124
331,450
332,3
333,445
334,1422
335,223
336,7833
337,596
338,596
339,1404
340,1193
341,604
342,96
343,106
344,1332
345,15
346,198
347,1750
348,1436
349,215
350,14
351,1608
352,1373
353,14
354,5188
355,209
356,182
357,1371
358,1020
359,1194
360,1016
361,124
362,8
363,1374
364,179
365,156
366,10
367,1373
368,36
369,1193
370,596
371,26
372,215
373,82
374,82
375,517
376,162
377,106
378,598
379,76
380,18
381,1433
382,18
383,72
384,1388
385,365
386,43
387,18
388,8
389,13
390,8
391,71
392,1350
393,1199
394,51
395,15
396,18
397,58
398,106
399,1388
400,1445
401,176
402,8
403,179
404,230
405,574
406,591
407,15
408,18
409,10
410,60
411,451
412,148
413,54
414,1208
415,8
416,198
417,1339
418,1004
419,18
420,1
421,1195
422,595
423,1193
424,1486
425,432
426,1374
427,11
428,221
429,1342
430,156
431,605
432,370
433,94
434,19
435,8
436,14
437,15
438,1652
439,14
440,404
441,364
442,1353
443,3
444,8
445,15
446,450
447,1006
448,2127
449,106
450,180
451,209
452,24
453,18
454,444
455,220
456,54
457,1454
458,1419
459,601
460,1408
461,8
462,167
463,18
464,18
465,1005
466,15
467,13
468,1193
469,1802
470,12
471,1413
472,18
473,42
474,174
475,2
476,211
477,1473
478,1473
479,332
480,10
481,596
482,223
483,1409
484,1433
485,500
486,151
487,4621
488,8
489,4
490,1194
491,156
492,195
493,1617
494,1193
495,72
496,212
497,1405
498,54
499,18
500,1436
501,1472
502,601
503,1199
504,1385
505,106
506,161
507,117
508,1627
509,453
510,18
511,209
512,370
513,596
514,227
515,596
516,2021
517,124
518,8
519,1633
520,1392
521,591
522,1194
523,1436
524,589
525,180
526,586
527,1428
528,18
529,1407
530,28
531,1414
532,1017
533,517
534,445
535,1607
536,125
537,17
538,445
539,182
540,30
541,606
542,1624
543,1414
544,15
545,76
546,4
547,215
548,2126
549,232
550,14
551,8
552,574
553,1193
554,1447
555,419
556,364
557,215
558,596
559,83
560,8
561,18
562,2
563,54
564,18
565,603
566,18
567,1472
568,27
569,151
570,26
571,195
572,1194
573,10
574,116
575,63
576,125
577,1193
578,14
579,215
580,1199
581,216
582,75
583,1634
584,183
585,1006
586,132
587,591
588,606
589,54
590,28
591,27
592,13
593,1342
594,8
595,18
596,15
597,1428
598,133
599,16
600,54
601,574
602,84
603,156
604,18
605,601
606,1454
607,1338
608,8
609,1386
610,121
611,1002
612,61
613,365
614,215
615,178
616,10
617,33
618,18
619,8
620,227
621,596
622,14
623,49
624,2
625,8
626,74
627,182
628,4
629,11
630,8
631,42
632,591
633,76
634,365
635,170
636,591
637,244
638,1649
639,215
640,9
641,16
642,197
643,15
644,220
645,1373
646,215
647,176
648,1436
649,1407
650,195
651,18
652,114
653,1014
654,54
655,1428
656,79
657,195
658,1388
659,183
660,169
661,1346
662,122
663,1414
664,193
665,48
666,8
667,1420
668,9
669,604
670,162
671,155
672,17
673,13
674,353
675,215
676,1193
677,2227
678,106
679,122
680,1445
681,1752
682,219
683,65
684,383
685,194
686,10
687,146
688,606
689,432
690,604
691,1002
692,1369
693,232
694,1472
695,596
696,1332
697,1199
698,1407
699,15
700,1402
701,444
702,1194
703,591
704,1627
705,116
706,598
707,1672
708,4312
709,1668
710,450
711,8
712,198
713,9
714,9
715,15
716,1019
717,1146
718,1336
719,1436
720,121
721,1194
722,404
723,8
724,1194
725,450
726,116
727,1462
728,453
729,5152
730,263
731,27
732,1193
733,18
734,10
735,3188
736,15
737,14
738,593
739,1426
740,1196
741,9
742,425
743,14
744,19
745,195
746,148
747,14
748,1419
749,1396
750,3194
751,365
752,1433
753,598
754,1396
755,1725
756,319
757,232
758,82
759,552
760,15
761,1005
762,1414
763,1664
764,586
765,49
766,160
767,18
768,9
769,1384
770,125
771,10
772,17
773,50
774,1010
775,8
776,14
777,215
778,1664
779,18
780,552
781,124
782,15
783,18
784,13
785,1194
786,1752
787,8
788,3
789,1672
790,215
791,517
792,1146
793,1407
794,222
795,65
796,604
797,2227
798,9
799,598
800,9
801,48
802,224
803,7
804,1473
805,1613
806,1193
807,224
808,3194
809,1194
810,231
811,156
812,106
813,223
814,2348
815,364
816,1194
817,1433
818,19
819,1396
820,601
821,152
822,9
823,445
824,67
825,2219
826,596
827,18
828,106
829,1193
830,106
831,1336
832,212
833,2
834,16
835,574
836,18
837,1019
838,125
839,365
840,198
841,29
842,18
843,80
844,9
845,18
846,1414
847,1013
848,10
849,244
850,365
851,147
852,1138
853,10
854,1445
855,161
856,1675
857,1
858,2
859,445
860,8
861,83
862,8
863,183
864,8
865,591
866,171
867,1351
868,8
869,1208
870,18
871,1194
872,124
873,1146
874,107
875,209
876,14
877,14
878,179
879,215
880,596
881,1404
882,574
883,211
884,54
885,14
886,76
887,35
888,1445
889,190
890,8
891,1475
892,78
893,43
894,14
895,1003
896,26
897,106
898,1193
899,263
900,1003
901,1
902,25
903,156
904,16
905,4422
906,519
907,1445
908,113
909,8
910,2021
911,1336
912,1194
913,179
914,26
915,596
916,8
917,342
918,1407
919,1193
920,1471
921,1373
922,1003
923,1473
924,598
925,8
926,18
927,176
928,28
929,123
930,18
931,14
932,348
933,14
934,364
935,8
936,14
937,381
938,38
939,438
940,183
941,114
942,1194
943,16
944,1193
945,11
946,215
947,596
948,365
949,18
950,16
951,596
952,2
953,124
954,5151
955,1384
956,14
957,586
958,9
959,122
960,2350
961,1445
962,228
963,1426
964,1369
965,263
966,6
967,14
968,1491
969,13
970,15
971,221
972,1370
973,14
974,14
975,606
976,1194
977,74
978,27
979,1634
980,1009
981,9
982,1402
983,1193
984,349
985,195
986,1009
987,1369
988,1414
989,1019
990,1198
991,1369
992,1193
993,1199
994,598
995,11
996,182
997,8
998,215
999,1436
1000,28
1001,8
1002,165
1003,283
1004,1752
1005,1194
1006,84
1007,25
1008,209
1009,11
1010,95
1011,517
1012,1194
1013,215
1014,27
1015,223
1016,116
1017,7
1018,202
1019,1020
1020,1454
1021,1005
1022,227
1023,1194
1024,169
1025,18
1026,1414
1027,348
1028,574
1029,1404
1030,153
1031,598
1032,1414
1033,3187
1034,1414
1035,9
1036,605
1037,26
1038,443
1039,1193
1040,598
1041,1373
1042,162
1043,1373
1044,596
1045,365
1046,181
1047,1369
1048,1385
1049,8
1050,18
1051,365
1052,1146
1053,213
1054,122
1055,33
1056,1336
1057,1371
1058,226
1059,178
1060,4128
1061,10
1062,212
1063,178
1064,1382
1065,215
1066,1194
1067,106
1068,78
1069,1193
1070,1003
1071,29
1072,182
1073,4775
1074,1407
1075,12
1076,1144
1077,209
1078,1
1079,591
1080,1414
1081,1199
1082,1648
1083,19
1084,604
1085,14
1086,226
1087,1194
1088,18
1089,1472
1090,603
1091,1429
1092,1016
1093,1384
1094,198
1095,80
1096,1019
1097,8
1098,79
1099,1445
1100,227
1101,1664
1102,12
1103,364
1104,1426
1105,9
1106,1644
1107,215
1108,1426
1109,1419
1110,125
1111,1193
1112,1199
1113,133
1114,29
1115,13
1116,596
1117,18
1118,365
1119,225
1120,18
1121,46
1122,27
1123,1193
1124,18
1125,203
1126,116
1127,1193
1128,8
1129,364
1130,1407
1131,2222
1132,1402
1133,8
1134,1194
1135,122
1136,169
1137,18
1138,1476
1139,16
1140,1341
1141,1193
1142,1428
1143,14
1144,12
1145,2127
1146,1373
1147,13
1148,8
1149,1194
1150,1414
1151,222
1152,190
1153,596
1154,14
1155,1194
1156,596
1157,214
1158,352
1159,444
1160,14
1161,1006
1162,274
1163,18
1164,9
1165,1001
1166,1373
1167,29
1168,591
1169,195
1170,8
1171,42
1172,14
1173,1014
1174,1194
1175,18
1176,1613
1177,352
1178,1193
1179,14
1180,8
1181,16
1182,1
1183,220
1184,1373
1185,182
1186,15
1187,10
1188,596
1189,332
1190,1194
1191,15
1192,167
1193,1413
1194,1624
1195,445
1196,608
1197,1001
1198,8
1199,82
1200,15
1201,596
1202,169
1203,1340
1204,26
1205,4310
1206,1414
1207,445
1208,5153
1209,15
1210,106
1211,1194
1212,166
1213,1613
1214,275
1215,1414
1216,591
1217,9
1218,1377
1219,75
1220,196
1221,18
1222,381
1223,18
1224,215
1225,1340
1226,596
1227,15
1228,15
1229,1426
1230,14
1231,18
1232,596
1233,46
1234,1454
1235,1413
1236,27
1237,18
1238,1436
1239,1436
1240,15
1241,263
1242,1146
1243,596
1244,1476
1245,1445
1246,1199
1247,365
1248,1201
1249,13
1250,15
1251,221
1252,418
1253,367
1254,54
1255,1454
1256,4668
1257,8
1258,151
1259,174
1260,445
1261,26
1262,591
1263,87
1264,22
1265,1
1266,604
1267,18
1268,1407
1269,13
1270,220
1271,1436
1272,32
1273,226
1274,1411
1275,161
1276,365
1277,87
1278,182
1279,15
1280,1194
1281,591
1282,1194
1283,1756
1284,9
1285,80
1286,10
1287,1476
1288,8
1289,1445
1290,1193
1291,1614
1292,209
1293,596
1294,169
1295,517
1296,1664
1297,115
1298,220
1299,4643
1300,9
1301,8
1302,1445
1303,178
1304,176
1305,195
1306,106
1307,596
1308,1193
1309,3
1310,211
1311,1015
1312,75
1313,1369
1314,1414
1315,8
1316,116
1317,1614
1318,215
1319,1405
1320,14
1321,179
1322,1473
1323,444
1324,1395
1325,1
1326,8
1327,182
1328,1723
1329,596
1330,209
1331,61
1332,332
1333,215
1334,1454
1335,1020
1336,4671
1337,36
1338,10
1339,5188
1340,13
1341,18
1342,19
1343,16
1344,1374
1345,1394
1346,1373
1347,18
1348,1414
1349,11
1350,1194
1351,84
1352,27
1353,596
1354,1407
1355,999
1356,15
1357,1472
1358,106
1359,1210
1360,18
1361,18
1362,15
1363,220
1364,1407
1365,413
1366,1352
1367,18
1368,19
1369,591
1370,10
1371,10
1372,517
1373,46
1374,18
1375,2
1376,1126
1377,343
1378,1134
1379,1414
1380,1397
1381,8
1382,15
1383,1193
1384,91
1385,369
1386,1336
1387,365
1388,1146
1389,1436
1390,9
1391,18
1392,1193
1393,158
1394,591
1395,212
1396,80
1397,65
1398,18
1399,18
1400,198
1401,15
1402,76
1403,125
1404,18
1405,211
1406,8
1407,15
1408,15
1409,14
1410,1476
1411,195
1412,183
1413,1599
1414,28
1415,10
1416,172
1417,3187
1418,8
1419,1414
1420,135
1421,206
1422,8
1423,1409
1424,106
1425,1445
1426,94
1427,49
1428,106
1429,18
1430,180
1431,19
1432,596
1433,1398
1434,94
1435,231
1436,369
1437,198
1438,431
1439,224
1440,14
1441,603
1442,18
1443,1009
1444,175
1445,1414
